t,v
0,0.00
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,0.00
21,4.83
22,9.50
23,13.84
24,18.51
25,23.01
26,27.20
27,27.84
28,29.13
29,33.31
30,34.92
31,36.05
32,36.21
33,35.57
34,34.60
35,33.64
36,32.83
37,31.87
38,27.36
39,23.98
40,23.98
41,24.46
42,24.94
43,25.75
44,27.52
45,30.74
46,33.96
47,36.53
48,36.85
49,36.53
50,36.37
